POSTAL PATRON,PO BOX NO,LYONS  GA   30436,OPEN,OPEN,CITY CODE,LABEL STOP,SELECT CODE,WALK SEQ.,TAG
,1302,,,,LSI,,AP,1362,
,1303,,,,LSI,,AP,1364,
,1304,,,,LSH,,AP,1374,
,1305,,,,LSH,,AP,1370,
,1306,,,,LSH,,AP,1372,
,1307,,,,LSH,,AP,1376,
,1308,,,,LSH,,AP,1378,
,1309,,,,LSH,,AP,1380,
,1310,,,,LSH,,AP,1382,
,1311,,,,LSH,,AP,1386,
,1312,,,,LSH,,AP,1384,
,1313,,,,LSH,,AP,1388,
,1314,,,,LSH,,AP,1394,
,1315,,,,LSH,,AP,1390,
,1321,,,,LSH,,AP,1398,
,1322,,,,LSH,,AP,1396,
,1323,,,,LSH,,AP,1392,
,1324,,,,LSH,,AP,1400,
,1325,,,,LSH,,AP,1402,
,1326,,,,LSH,,AP,1404,
,1327,,,,LSH,,AP,1408,
,1328,,,,LSH,,AP,,
,1329,,,,LSH,,AP,1410,
,1331,,,,LSH,,AP,1510,x
,1332,,,,LSH,,AP,1426,
,1333,,,,LSH,,AP,1434,
,1334,,,,LSH,,AP,1416,
,1335,,,,LSH,,AP,1424,
,1336,,,,LSH,,AP,1432,
,1337,,,,LSH,,AP,1414,
,1338,,,,LSH,,AP,1422,
,1339,,,,LSH,,AP,1430,
,1340,,,,LSH,,AP,1511,X
,1341,,,,LSH,,AP,1420,
,1342,,,,LSH,,AP,1428,
,1343,,,,LSH,,AP,1515,X
,1344,,,,LSH,,AP,1442,
,1345,,,,LSH,,AP,1438,
,1351,,,,LSH,,AP,1444,
,1352,,,,LSH,,AP,1440,
,1353,,,,LSH,,AP,1446,
,1354,,,,LSH,,AP,1448,
