STREET ADDRESS,WALK SEQ.,CITY CODE
103 E. OGLETHORPE AVE.,1496,2
400 N. LANIER ST.,1492,2
401 N. LANIER ST. APT.2,1500,2
401 N. LANIER ST.,1498,2
313 N. LANIER ST.,1502,2
311 N. LANIER ST.,1504,2
210 E. OGLETHORPE AVE.,1508,2
209 E. OGLETHORPE AVE.,1506,2
212 E. OGLETHORPE AVE.,1510,2
214 E. OGLETHORPE AVE.,1512,2
401 N. LEXINGTON ST. APT.1,1514,2
319 N. LEXINGTON ST.,1516,2
317 N. LEXINGTON ST.,1518,2
306 N. LEXINGTON ST.,1520,2
304 N. LEXINGTON ST.,1522,2
207 N. LEXINGTON ST.,1526,2
205 N. LEXINGTON ST.,1528,2
203 N. LEXINGTON ST.,1530,2
201 N. LEXINGTON ST.,1532,2
313 COLUMBIA AVE.,1534,2
315 E. COLUMBIA AVE.,1536,2
316 E. COLUMBIA AVE.,1538,2
323 E. COLUMBIA AVE.,1540,2
325 E. COLUMBIA AVE.,1542,2
318 E. COLUMBIA AVE. APT.2,1546,2
318 E. COLUMBIA AVE. APT.3,1548,2
318 E. COLUMBIA AVE. APT.4,1550,2
318 E. COLUMBIA AVE. APT.5,1552,2
318 E. COLUMBIA AVE. APT.8,1558,2
318 E. COLUMBIA AVE. APT.6,1554,2
318 E. COLUMBIA AVE. APT.7,1556,2
216 E. COLUMBIA AVE.,1564,2
212 E. COLUMBIA AVE.,1566,2
210 E. COLUMBIA AVE.,1568,2
215 E. COLUMBIA AVE.,1570,2
202 N. LEXINGTON AVE.,1572,2
214 E. WESLEY AVE.,1574,2
212 E. WESLEY AVE.,1576,2
210 E. WESLEY AVE.,1578,2
209 E. WESLEY AVE.,1586,2
207 E. WESLEY AVE.,1584,2
206 E. WESLEY AVE.,1580,2
204 E. WESLEY AVE.,1582,2
303 N. LANIER ST.,1588,2
305 N. LANIER ST.,1590,2
307 N. LANIER ST.,1592,2
309 N. LANIER ST.,1594,2
215 N. LANIER ST.,1596,2
211 N. LANIER ST.,1600,2
211 N. LANIER ST. APT.2,1598,2
211 N. LANIER ST. APT.3,1602,2
201 N. LANIER ST.,1604,2
113 N. LANIER ST.,1606,2
113 N. LANIER ST.,834,2
111 N. LANIER ST.,1608,2
103 N. LANIER ST.,1610,2
101 N. LANIER ST.,1612,2
513 S. WASHINGTON ST.,212,1
112 PECAN PLACE,452,1
501 E. COLUMBIA AVE.,836,1
104 PECAN PLACE,452,1
203 BEECHWOOD DR.,684,1
520 S. STATE ST.,230,1
408 W. LIBERTY ST.,332,1
307 E. GRADY AVE.,370,1
301 W. COLUMBIA AVE. APT.B,1048,2
301 W. COLUMBIA AVE. APT.A,1046,2
201 N. JEFFERSON ST. APT.B,1036,2
201 N. JEFFERSON ST. APT. A,1034,2
206 W. COLUMBIA AVE. APT.10,1032,2
206 W. COLUMBIA AVE. APT.9,1030,2
206 W. COLUMBIA AVE. APT.8,1028,2
